city;year;quarter;v1;v2;v3;v4;v5;v6;v7;v8;v9;v10;v11;v12;v13;v14;v15;v16;v17;v18;v19;v20;v21;v22;v23;v24;v25;v26;v27;v28;v29;v30;v31;v32;v33;v34;v35;v36;v37;v38;v39;v40;v41;v42;v43;v44;v45;v46;v47;v48;v49;v50;v51;v52;v53;v54;v55;v56;v57;v58;v59;v60;v61;v62;v63;v64;v65;v66;v67;v68;v69;v70;v71;v72;v73;v74;v75;v76;v77;v78;v79;v80
36;88;2;-1.171;-0.459;-0.879;-0.189;-1.176;-0.229;-0.541;-0.148;-0.487;-1.199;-0.229;-0.127;1.9;0.679;0.04;2.262;0.342;-0.495;-0.569;-0.058;0.661;-0.444;-1.314;-0.372;-0.179;-0.606;-0.112;0.25;0.642;-1.175;0.469;0.549;1.813;-0.573;0.094;-0.316;0.551;-1.133;-2.312;0.467;0.545;0.511;0.608;-0.228;0.22;-0.617;0.812;-0.09;-0.773;-1.246;-0.145;0.465;1.339;0.831;2.215;-0.419;-0.245;-0.251;1.776;-1.311;0.92;-0.187;0.25;0.754;0.801;1.849;1.636;0.147;-1.582;0.536;-0.158;1.968;0.363;1.462;0.246;1.72;-0.138;0.223;-0.069;0.372
37;88;2;0.641;-0.583;0.234;1.293;-0.627;1.612;-0.335;0.013;0.459;0.983;0.267;-2.238;2.064;-0.974;-0.465;-1.886;1.211;-2.628;1.075;1.32;-0.714;-1.93;-0.138;0.485;1.002;0.587;0.492;0.508;-0.961;-0.262;-2.001;-1.248;-0.39;-0.073;-0.663;0.496;1.919;0.117;-1.37;1.212;-0.858;-0.752;-0.589;-0.333;0.629;0.579;0.594;-1.709;-0.06;2.142;-0.179;0.632;0.483;-2.008;0.379;1.1;-0.41;-1.438;1.251;-0.184;0.55;0.688;0.469;1.491;0.521;0.348;-0.447;1.034;0.508;0.847;1.627;0.86;0.317;0.562;1.357;0.94;0.387;1.832;0.423;-1.391
38;88;2;0.568;-0.365;0.498;-0.998;0.535;0.325;1.315;0.197;-0.875;0.831;1.425;-0.504;0.278;-0.728;-0.327;-1.087;-1.786;-0.886;2.566;1.3;-0.803;0.109;-0.082;0.422;-0.074;0.775;1.327;1.963;-0.002;-1.133;0.204;0.627;0.539;0.922;1.293;1.229;0.896;-0.772;-0.158;-2.291;-0.531;-1.098;-0.18;-0.333;0.263;1.574;-0.583;-0.904;0.058;1.169;1.58;0.418;-0.56;-0.095;-0.489;-0.283;-0.189;0.006;0.134;0.294;-0.072;0.75;1.075;0.312;-2.507;-0.392;0.064;-0.874;-0.742;2.593;0.698;-1.521;-1.157;0.402;-0.373;1.607;-0.309;-0.791;1.756;-1.506
39;88;2;0.919;-0.253;0.474;1.075;0.783;0.636;2.495;-1.235;-0.607;0.76;0.304;0.394;-0.592;1.584;0.096;0.354;-1.025;-2.2;0.717;-0.476;-0.281;0.785;0.077;-1.085;-0.429;-1.057;-0.692;-0.106;1.084;1.346;0.292;-2.52;1.343;0.5;0.317;-1.955;1.497;-0.448;-1.554;-0.113;-0.587;-1.056;0.156;-0.599;-0.813;0.168;-1.056;-0.509;0.664;1.291;-0.44;1.459;0.296;0.407;-0.189;0.033;0.911;-1.608;-0.086;-1.102;-1.518;0.299;-1.025;-0.514;0.937;0.239;-0.08;0.39;0.459;-0.026;0.264;0.087;0.513;1.58;0.898;0.17;-0.266;-0.524;-2.263;0.04
40;88;2;0.109;-1.265;0.637;-0.72;-0.22;0.447;0.568;0.77;-0.565;0.539;1.131;-0.249;0.49;-1.062;-1.727;-0.915;0.076;0.426;1.086;-0.717;1.087;-0.115;-0.98;-0.893;0.109;1.219;0.901;0.798;-1.031;-0.869;1.394;-1.058;-0.881;-0.53;0.286;-0.239;-1.019;0.198;0.537;0.874;-0.244;-0.312;0.631;-0.67;-0.853;0.131;-0.931;1.105;0.838;-0.734;0.405;-0.123;-0.595;-0.812;-0.207;1.77;0.235;0.166;-1.255;0.228;-1.089;0.294;-1.85;0.827;0.251;0.369;1.834;1.197;0.388;0.081;-0.902;-0.866;1.147;-0.215;0.515;-0.119;0.879;0.519;-0.821;1.087
41;88;2;0.441;-0.624;-1.948;-0.371;0.87;-2.043;-0.199;-1.43;-1.013;-0.981;-0.408;0.455;0.164;0.639;-0.741;1.06;1.3;-0.216;-0.185;1.939;2.259;-0.094;-0.641;-1;-0.054;0.287;1.208;1.132;0.514;0.36;1.166;1.389;0.95;-1.261;-1.575;0.397;-1.2;2.324;-0.368;-0.351;0.92;-1.608;-1.441;-1.051;-0.566;2.572;-0.308;1.006;0.997;0.513;1.917;-1.62;-0.998;-1.033;1.119;-1.455;0.867;1.154;-2.498;1.61;1.949;-0.349;0.037;0.36;-1.762;0.723;0.509;-0.545;-0.377;0.239;0.394;1.956;-0.918;1.322;-1.925;1.27;1.508;0.92;-2.836;-0.052
43;88;2;-1.634;0.826;-1.19;-0.144;0.796;-0.567;-1.225;1.197;0.929;0.513;-0.974;-0.598;-0.055;1.402;0.212;0.403;0.827;1.685;-0.774;-0.33;-0.787;0.546;-0.003;0.004;0.085;-2.208;1.757;1.131;1.885;-0.951;-0.26;0.059;-0.03;-1.505;0.215;1.291;2.832;1.549;-1.458;-0.066;2.191;0.652;-1.524;-1.149;0.809;1.003;-1.058;-0.714;-0.961;0.224;-0.363;0.734;0.134;-0.703;1.031;-0.153;1.52;-0.784;1.233;-0.684;0.282;-0.201;-1.124;-0.48;0.251;-1.388;-2.296;-0.232;0.8;-0.368;1.047;0.618;0.682;-0.932;1.143;1.196;1.267;1.421;-1.043;-1.191
44;88;2;0.742;-0.042;1.507;-1.764;-0.579;0.448;-1.243;1.686;-0.688;-0.657;-0.645;-0.692;1.12;0.072;-0.792;0.631;1.196;0.409;0.289;1.721;0.789;-1.06;1.584;0.84;0.608;0.262;0.115;0.284;0.054;-0.774;-0.718;0.059;1.606;0.066;-0.058;1.95;-0.257;0.153;1.004;-1.601;-1.752;-2.254;0.748;-0.303;1.186;-0.675;-0.078;-0.38;-1.112;2.428;-1.483;1.185;-1.576;0.597;0.372;0.537;-1.43;0.792;0.164;-0.198;1.463;-0.195;-0.195;-0.765;-0.496;-0.323;-0.917;1.713;-0.087;-1.086;-1.11;0.37;-0.457;0.387;-1.709;-1.331;1.898;1.322;0.174;-0.865
45;88;2;0.186;-0.353;0.233;-0.863;1.656;-1.005;-0.34;0.624;0.505;0.415;0.94;0.705;-0.321;-0.264;-1.248;0.444;0.664;0.831;-0.922;0.135;-1.354;0.739;0.784;1.954;-0.483;0.475;0.08;-0.45;-0.579;-0.4;-0.919;0.295;0.513;-0.788;1.784;0.781;-0.087;0.414;0.103;-2.231;-0.109;-1.233;-0.332;-0.668;-0.449;0;1.038;0.453;0.375;0.48;0.778;1.941;1.799;-0.305;0.893;0.687;-1.477;-0.429;0.064;2.642;-0.725;0.828;0.441;-0.034;1.627;-0.228;1.081;0.81;-0.343;-1.636;1.026;0.349;1.629;-0.015;0.295;-0.289;1.278;1.215;1.752;0.138
47;88;2;0.253;-0.63;0.885;1.194;-1.705;0.837;-0.272;-0.846;0.051;-0.015;1.031;0.632;0.176;-0.059;-0.464;-1.474;0.093;0.791;-1.748;-0.055;0.973;0.149;-1.213;0.06;-0.321;0.341;-0.868;0.778;-0.532;-1.516;-0.511;0.571;-0.145;1.442;-1.095;-0.535;0.507;0.479;-0.75;-1.675;-1.192;-0.111;-0.204;2.628;-1.793;0.48;-0.797;1.549;0.88;0.085;0.745;-0.021;0.048;0.057;0.784;-1.657;-0.779;-0.186;0.342;1.134;0.734;0.981;-0.591;-0.774;0.12;-0.777;0.366;0.645;1.271;0.217;0.842;1.112;-0.347;0.042;-0.922;1.054;1.312;2.431;0.737;0.102
48;88;2;-1.452;0.507;0.139;1.312;0.762;-0.382;0.261;0.963;-0.11;-0.129;-0.169;-0.448;0.255;0.202;-0.757;0.055;0.417;-0.442;0.802;-1.618;-0.538;-2.213;0.548;-0.178;-1.164;1.361;0.662;-1.187;0.226;2.117;-0.826;-0.471;-0.378;-0.403;-0.422;1.793;0.379;-0.763;-1.302;0.62;-0.396;-1.07;1.952;0.142;-0.53;-1.475;2.479;-1.6;-1.658;-0.018;-0.049;-0.267;-0.621;-0.686;0.177;-0.012;0.463;-0.463;-1.61;-1.112;1.103;0.339;0.871;0.558;0.892;-0.439;-0.34;0.421;-0.303;-0.853;-0.768;0.209;1.814;-0.187;1.63;-0.145;0.029;0.209;-0.701;0.06
49;88;2;0.075;-0.338;-0.051;1.206;-0.453;0.117;-1.089;0.702;-0.446;0.664;-1.122;-1.074;0.729;0.635;0.96;-0.294;0.617;-0.583;0.62;-0.823;-0.269;-0.554;-1.353;2.13;0.002;-1.114;-0.975;1.691;-0.173;0.724;-1.436;0.376;-0.8;0.917;0.099;0.865;-0.205;0.34;0.729;1.679;-0.727;-0.278;1.473;3.042;-0.018;-0.558;1.323;0.45;-0.404;0.283;-0.659;1.244;0.051;0.396;1.807;-0.234;-0.691;-1.536;0.731;0.262;-0.759;0.438;-1.447;2.654;0.337;0.142;1.618;-0.254;0.625;-0.427;0.035;-0.261;-0.165;-0.102;-0.347;0.478;-0.856;-0.441;-0.348;0.022
52;88;2;-1.077;0.885;-0.115;0.313;-0.822;1.784;1.071;-2.388;-1.255;-0.258;0.602;-0.033;0.01;-1.272;1.557;-0.052;0.206;-0.96;0.483;1.179;-0.708;0.461;-0.261;0.58;0.372;0.613;0.038;0.99;0.29;1.39;-1.073;0.288;0.332;0.991;0.235;0.415;1.105;-1.18;-0.504;-2.116;0.726;-0.088;0.869;0.69;-0.75;-0.365;-0.198;-0.293;-0.311;-1.168;0.477;-1.489;-0.583;-1.4;1.177;-0.278;-0.512;1.109;-0.71;-1.703;-0.556;0.096;-1.659;1.415;-0.204;0.473;1.095;0.043;-0.225;-1.424;-0.207;0.735;-0.303;-0.126;0.644;-0.706;-1.428;-0.488;-0.896;0.254
53;88;2;1.326;1.642;0.096;0.276;-1.467;-0.269;0.922;-0.476;1.13;-1.673;-1.239;-0.859;-0.085;0.354;-0.676;-0.795;0.299;-1.505;-0.395;-1.086;0.092;-0.657;0.69;-1.465;-1.187;0.771;-0.22;2.132;-0.732;0.214;-1.423;-0.234;1.717;-1.426;-3.019;0.187;-0.287;-1.366;0.472;-0.912;-0.055;-1.664;-0.489;1.86;-1.172;0.109;0.691;0.172;-0.439;0.063;-0.33;2.356;-0.154;-0.266;0.399;0.498;-0.15;-0.263;-0.658;-1.693;-1.485;-0.816;-0.061;0.404;-0.256;1.156;0.668;0.02;0.091;0.617;-1.407;1.653;0.222;0.1;-1.073;0.72;-0.018;-0.775;-0.21;-0.416
54;88;2;-0.357;-1.485;-0.459;-1.949;-0.577;-0.527;-0.493;0.203;2.412;-1.664;0.623;2.279;-2.206;-0.03;-0.967;-0.937;0.269;1.045;0.359;1.487;0.733;-0.956;1.357;1.452;-0.125;-0.706;-0.965;-0.437;0.168;-0.092;-0.675;-0.973;2.255;-2.715;-0.017;-1.506;-2.207;-0.68;-1.646;-1.828;-1.685;1.981;-0.239;-0.656;1.858;-0.322;0.611;-1.957;0.699;1.717;-0.054;-0.993;-1.373;-0.328;0.76;0.348;0.709;0.528;0.6;0.674;0.973;0.153;-0.96;-0.294;1.073;1.675;-1.633;0.481;-0.062;0.203;-0.112;1.332;0.474;-1.024;-2.623;0.852;-0.397;3.334;0.681;1.229
55;88;2;0.726;0.014;0.955;-0.266;-0.523;0.387;-0.966;0.313;1.655;-0.654;0.594;0.661;0.567;0.897;-1.143;0.15;-0.528;1.407;0.982;1.101;-0.95;1.398;-0.333;1.347;-0.267;-0.997;-0.047;0.731;-1.868;-1.022;0.386;-2.1;1.261;2.076;-1.019;-1.066;-0.538;0.92;0.513;0.745;0.296;0.952;-0.013;-0.503;-0.796;1.231;0.938;-0.652;-0.236;-1.492;-0.005;0.784;1.896;0.709;0.294;0.894;1.686;-0.502;0.166;-1.301;-0.9;0.735;-0.915;-0.093;-0.803;-0.83;0.998;0.428;-0.653;0.004;-0.139;-2.599;-0.992;-0.601;2.081;1.315;0.435;-0.297;-0.498;-0.228
56;88;2;1.335;-0.659;-0.062;-1.373;0.529;1.313;0.756;0.924;-0.158;-1.072;1.455;-0.513;-1.227;0.015;-1.262;-0.05;-0.933;0.677;-1.406;-0.185;0.422;0.366;0.72;-1.161;0.155;0.915;0.794;-0.348;-1.38;0.636;-1.18;0.255;-0.998;0.076;-0.89;-0.51;-1.712;0.638;-0.362;-1.219;1.396;-2.19;1.03;-1.351;1.816;-0.587;-0.172;0.092;-0.804;1.491;1.526;1.301;-0.188;-0.625;-1.596;0.036;-0.362;-0.148;2.15;-0.21;-1.645;0.584;-0.642;0.284;0.79;1.277;0.024;0.296;-2.068;0.12;-0.523;1.087;-0.569;-0.317;-1.682;0.03;-0.705;0.031;-1.258;0.225
58;88;2;-0.506;0.795;0.055;-0.337;2.024;-1.678;1.316;-1.112;0.563;-0.024;1.246;-1.015;-1.042;-1.658;0.465;-0.924;-1.318;-1.174;-1.687;-0.884;-0.516;-0.577;0.159;0.812;-0.049;-1.098;0.635;-0.729;-0.023;0.454;0.639;0.115;-1.537;-0.531;2.543;0.098;-0.758;0.462;0.245;0.279;-0.078;-0.217;-1.073;-0.478;0.663;0.387;-0.478;-2.262;-0.488;0.175;0.383;1.167;1.042;0.84;-0.855;-1.795;0.732;-0.277;-0.843;-1.698;0.106;-1.45;0.688;-0.459;-0.215;-0.136;-0.414;0.029;-0.958;-0.926;-0.523;0.821;-0.055;0.453;-0.542;-0.669;-1.435;1.665;-0.212;-1.466
61;88;2;-0.275;0.915;-0.221;-0.781;0.46;-1.069;-1.234;2.374;-0.65;0.431;-0.215;0.902;-0.707;0.033;-1.551;-1.242;0.471;-1.608;-0.818;1.922;0.101;-0.091;-0.609;2.002;-0.522;0.364;-0.032;-1.225;0.18;-0.958;-1.638;-1.358;-1.038;-0.222;0.832;0.471;-0.057;-0.476;0.695;1.038;0.548;1.085;-1.232;1.364;0.1;1.481;0.308;-1.23;0.64;-0.261;-0.679;-2.59;-0.199;0.408;0.053;-1.101;-0.648;-1.67;0.846;-0.108;-0.23;-0.969;-1.086;-0.319;-0.832;-0.862;1.69;-1.306;-0.446;0.818;-0.128;0.162;-0.884;1.607;-0.459;-1.337;0.766;0.181;-0.757;1.853
63;88;2;-0.001;-0.308;-1.576;-0.48;0.293;-0.073;0.761;1.083;0.485;0.59;-1.047;-0.921;-1;0.106;-0.04;-0.446;-0.625;0.339;0.66;-0.535;-1.322;-0.657;-0.359;-0.297;-0.162;1.084;1.677;-1.452;-0.684;0.793;1.457;-0.975;-0.52;1.836;-0.729;-0.264;-0.369;0.341;0.243;-0.196;-0.328;-0.746;0.656;0.068;0.839;1.194;0.36;-0.482;0.657;-0.624;0.829;-0.979;-0.401;-0.219;0.397;-1.03;-0.057;-0.987;0.379;0.026;0.721;-0.072;-0.472;-0.613;0.132;0.652;-0.144;-0.163;-0.653;0.125;2.155;-0.955;0.846;-1.757;-0.171;0.359;-0.075;-0.334;0.274;1.236
65;88;2;1.843;-0.651;-0.385;0.575;0.93;-1.34;0.436;-0.255;0.809;0.253;1.683;-0.205;-0.662;-1.289;0.884;-0.77;2.232;-1.417;0.32;0.783;0.867;0.149;0.084;0.49;-0.833;1.621;-0.145;-0.311;-0.945;-0.434;1.864;0.031;0.953;-0.368;1.22;1.734;1.769;-0.73;0.157;-0.239;-0.035;-0.006;-0.58;0.337;0.663;0.509;-0.872;0.701;-1.968;-1.007;-0.044;-0.529;-1.774;0.238;-0.744;0.649;-0.182;0.697;1.35;-0.001;-0.657;-0.371;0.834;0.049;0.68;-1.176;2.27;1.089;1.688;0.369;0.314;-0.174;1.067;0.02;2.118;0.277;-0.097;0.749;1.765;-2.103
